generation,best,mean,min,std,best_of_run,gen_seeds
88,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[392, 679, 141, 577, 754]"
89,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[868, 901, 200, 166, 912]"
90,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[740, 872, 227, 824, 315]"
91,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[795, 144, 757, 866, 231]"
92,8218.14523,7523.74879533336,6868.419000000036,542.1502917767896,8218.14523,"[377, 234, 897, 920, 697]"
93,8218.14523,7538.773454000026,6868.419000000036,526.6831030595123,8218.14523,"[399, 906, 558, 460, 275]"
94,8218.14523,7538.773454000026,6868.419000000036,526.6831030595123,8218.14523,"[461, 277, 332, 195, 926]"
95,8599.178200000046,7744.139149333357,6953.243300000037,530.1291905940972,8599.178200000046,"[208, 611, 447, 463, 65]"
96,8599.178200000046,7744.139149333357,6953.243300000037,530.1291905940972,8599.178200000046,"[155, 764, 393, 683, 674]"
97,8599.178200000046,7789.262142666691,7064.013940000021,488.0235299955693,8599.178200000046,"[824, 422, 426, 149, 673]"
98,8599.178200000046,7800.209133333361,7093.788880000027,473.2505759989108,8599.178200000046,"[399, 312, 929, 955, 968]"
99,8599.178200000046,7996.068914666683,7228.218800000061,353.9345152143765,8599.178200000046,"[126, 574, 659, 84, 767]"
100,8599.178200000046,7996.068914666683,7228.218800000061,353.9345152143765,8599.178200000046,"[929, 665, 192, 792, 232]"
